Event,Date,White,Black,Result,Opening,ECO,WhiteElo,BlackElo,TimeControl,Termination,EndgameStartMove,PawnCount,RookCount,QueenCount,Winner,WhiteElo_normalized,BlackElo_normalized,WhiteElo_scaled,BlackElo_scaled,Result_encoded,BaseTime,TimeControlValidation,UniqueID
Blitz,2024.08.01,fatmirahmeti10,MaestroGabriell,1-0,Exchange Variation,B13,2026,2076,180+0,Normal,86.0,4.0,0.0,0.0,White,0.589557650471356,0.6076867295141407,0.9298486113081142,1.056366316410699,1.0,180.0,Correct,1633
Blitz,2024.08.01,Chess_Computer_101,xystan,0-1,King's Indian Attack,A05,2478,2512,180+0,Normal,102.0,2.0,1.0,0.0,Black,0.7534445250181291,0.7657722987672226,2.0837288380367207,2.16857945655454,0.0,180.0,Correct,1634
Bullet,2024.08.01,AndresLeon,JosivalSchess,1-0,Accelerated London System,D00,1851,1893,120+1,Normal,129.0,4.0,0.0,0.0,White,0.5261058738216099,0.5413343002175489,0.483102948304782,0.5895429112585818,1.0,120.0,Correct,1635
Blitz,2024.08.01,antwrep,xander9,1-0,Italian Variation,C47,1439,1442,180+0,Normal,129.0,3.0,0.0,1.0,White,0.3767222625090645,0.3778100072516316,-0.5686639840230628,-0.5609344424223184,1.0,180.0,Correct,1636
Blitz,2024.08.01,Abdallah1990,Retourdeflamme2700,1/2-1/2,Benko Gambit,A57,2445,2596,180+0,Normal,154.0,4.0,0.0,0.0,Draw,0.7414793328498912,0.7962291515591008,1.9994853701560924,2.382859052362069,0.5,180.0,Correct,1637
Bullet,2024.08.01,FroggyX16,Almaz-nv,0-1,Knight Variation,C00,2336,2376,60+0,Time forfeit,106.0,4.0,0.0,0.0,Black,0.7019579405366208,0.7164612037708484,1.7212266429140168,1.821650587151874,0.0,60.0,Correct,1638
Bullet,2024.08.01,Bosst707,SamuelRuim,0-1,"Taimanov Variation, Normal Variation",B45,1485,1454,60+0,Time forfeit,83.0,4.0,0.0,0.0,Black,0.3934010152284264,0.3821609862218998,-0.4512336954621869,-0.5303230715926713,0.0,60.0,Correct,1639
Blitz,2024.08.01,eltucu60,lukaover,0-1,Queen's Pawn Game,D00,1734,1745,300+0,Normal,95.0,4.0,0.0,0.0,Black,0.4836838288614938,0.4876722262509064,0.1844215621825542,0.2120026710262686,0.0,300.0,Correct,1640
Blitz,2024.08.01,escudero23,hakaneryt,1-0,"Agincourt Defense, Catalan Defense Accepted",A13,1559,1537,180+2,Normal,128.0,3.0,1.0,0.0,White,0.4202320522117476,0.4122552574329223,-0.2623241008207779,-0.3185944233542795,1.0,180.0,Correct,1641
Classic,2024.08.01,jhp1020,miguelchinchilla,1-0,McConnell Defense,C40,1231,1204,1800+0,Normal,133.0,2.0,1.0,1.0,White,0.3013052936910805,0.2915155910079768,-1.0996531149070234,-1.168059963876984,1.0,1800.0,Correct,1642
Rapid,2024.08.01,Esmaill,pyduan,0-1,"Bishop's Gambit, Maurian Defense",C33,1989,1877,600+5,Normal,93.0,3.0,0.0,0.0,Black,0.5761421319796954,0.5355329949238579,0.8353938139874098,0.5487277501523857,0.0,600.0,Correct,1643
Rapid,2024.08.01,dks32,MotivosparaCombinar,0-1,"Accelerated Dragon, Modern Bc4 Variation",B35,1994,2109,600+5,Normal,86.0,3.0,0.0,0.0,Black,0.5779550398839739,0.6196519216823785,0.848157975787505,1.140547586192228,0.0,600.0,Correct,1644
Blitz,2024.08.01,eyadragab,AyhanKaraca,0-1,Normal Variation,C44,1229,1219,180+2,Normal,103.0,3.0,0.0,0.0,Black,0.3005801305293691,0.2969543147208122,-1.1047587796270617,-1.1297957503399252,0.0,180.0,Correct,1645
Blitz,2024.08.01,Remarrano,Diegochess79,0-1,Exchange Variation,C68,2146,2280,240+2,Normal,95.0,3.0,1.0,0.0,Black,0.6330674401740392,0.6816533720087019,1.2361884945103991,1.576759620514698,0.0,240.0,Correct,1646
Blitz,2024.08.01,Olezon,Shuler_337,0-1,"Advance Variation, Short Variation",B12,1656,1864,180+0,Time forfeit,104.0,3.0,0.0,0.0,Black,0.4554024655547498,0.5308194343727338,-0.0146993618989309,0.5155654317536015,0.0,180.0,Correct,1647
Blitz,2024.08.01,V0v12,assher,1-0,Valencian Variation,B01,1615,1837,180+0,Normal,111.0,3.0,1.0,0.0,White,0.4405366207396664,0.5210297316896302,-0.1193654886597116,0.4466898473868957,1.0,180.0,Correct,1648
Bullet,2024.08.01,hossamalshref777,Gabovich,0-1,Van't Kruijs Opening,A00,1879,1850,120+1,Normal,112.0,2.0,0.0,0.0,Black,0.5362581580855692,0.5257432922407541,0.5545822543853152,0.47985216578568,0.0,120.0,Correct,1649
Rapid,2024.08.01,krithb,fenris999,0-1,Normal Variation,A84,1609,1606,600+5,Normal,91.0,4.0,0.0,0.0,Black,0.4383611312545322,0.4372733865119652,-0.1346824828198258,-0.1425790410838092,0.0,600.0,Correct,1650
Rapid,2024.08.01,Ramanujan-13,ChessNutAryan,1/2-1/2,La Bourdonnais Variation,C00,1790,1738,780+7,Normal,96.0,3.0,0.0,0.0,Draw,0.5039883973894126,0.4851341551849166,0.3273801743436205,0.1941460380423079,0.5,780.0,Correct,1651
Bullet,2024.08.01,Gniksoh,AIZEN1267,1/2-1/2,Hartlaub-Charlick Gambit,A40,1538,1567,60+0,Time forfeit,85.0,4.0,0.0,0.0,Draw,0.4126178390137781,0.4231327048585932,-0.3159335803811778,-0.2420659962801619,0.5,60.0,Correct,1652
Bullet,2024.08.01,Ra110,upsdriver,0-1,Sicilian Defense,B20,1970,1977,60+0,Normal,91.0,3.0,0.0,1.0,Black,0.5692530819434373,0.5717911530094271,0.7868899991470479,0.8038225070661108,0.0,60.0,Correct,1653
Blitz,2024.08.01,talagaga,IbrahimALNasser,1/2-1/2,Owen Defense,B00,1146,1201,300+3,Normal,105.0,2.0,2.0,0.0,Draw,0.2704858593183467,0.2904278462654097,-1.316643865508642,-1.1757128065843958,0.5,300.0,Correct,1654
Bullet,2024.08.01,vargatron,vladimirkozis,1/2-1/2,Modern Variation,B01,1968,2000,120+1,Normal,102.0,2.0,2.0,0.0,Draw,0.5685279187817259,0.580130529369108,0.7817843344270099,0.8624943011562676,0.5,120.0,Correct,1655
Blitz,2024.08.01,BelittleTheNotion,JKT2960,1-0,Breyer Variation,B10,1690,1685,180+0,Normal,99.0,3.0,1.0,0.0,White,0.4677302393038434,0.4659173313995649,0.0720969383417164,0.0589458168780336,1.0,180.0,Correct,1656
Blitz,2024.08.01,Charsport,elvis0121,1-0,Philidor Defense,C41,1921,1877,300+0,Normal,136.0,2.0,2.0,0.0,White,0.5514865844815083,0.5355329949238579,0.6618012135061149,0.5487277501523857,1.0,300.0,Correct,1657
Blitz,2024.08.01,mingin,IWW_Chess,0-1,Modern Variation,A01,1759,1776,180+0,Normal,121.0,4.0,0.0,0.0,Black,0.4927483683828861,0.4989122552574329,0.2482423711830302,0.2910820456695234,0.0,180.0,Correct,1658
Blitz,2024.08.01,AyYapim,MIGUELITROS021809,0-1,Ponziani Opening,C44,2438,2267,180+0,Time forfeit,128.0,2.0,0.0,1.0,Black,0.7389412617839014,0.676939811457578,1.981615543635959,1.5435973021159135,0.0,180.0,Correct,1659
Blitz,2024.08.01,alfross12,fcuesta,0-1,Hungarian Opening,A00,1729,1661,180+2,Normal,126.0,3.0,0.0,0.0,Black,0.4818709209572154,0.4572153734590283,0.171657400382459,-0.0022769247812604,0.0,180.0,Correct,1660
Blitz,2024.08.01,thenextlevelup,marin-g,1-0,"Exchange Variation, King's Bishop Variation",C69,1206,1275,180+2,Normal,116.0,3.0,1.0,0.0,White,0.2922407541696882,0.3172588832487309,-1.1634739239074994,-0.9869426864682392,1.0,180.0,Correct,1661
Blitz,2024.08.01,Danny_Suhr,Mahmoud-Alshwarbeh,1-0,Modern Defense,A40,1869,1876,180+2,Normal,74.0,4.0,0.0,0.0,White,0.5326323422770123,0.5351704133430022,0.5290539307851247,0.5461768025832485,1.0,180.0,Correct,1662
Rapid,2024.08.01,poeta_de_nochebuena,FerJflores,0-1,"Rapport-Jobava System, with e6",D01,1355,1277,600+0,Normal,99.0,3.0,0.0,0.0,Black,0.3462654097171863,0.3179840464104424,-0.7831019022646623,-0.9818407913299648,0.0,600.0,Correct,1663
Blitz,2024.08.01,olegaskin,akrammorad,1-0,Classical Variation,A84,1945,2017,180+2,Normal,88.0,2.0,1.0,0.0,White,0.560188542422045,0.5862944162436549,0.7230691901465719,0.9058604098316008,1.0,180.0,Correct,1664
Bullet,2024.08.01,IVANeltitan,dherring,0-1,Richter-Veresov Attack,D01,1474,1575,120+1,Time forfeit,119.0,2.0,2.0,0.0,Black,0.3894126178390138,0.4260333575054387,-0.4793148514223964,-0.221658415727064,0.0,120.0,Correct,1665
Bullet,2024.08.01,semyon_stepanov,KakDamLesha,1-0,Horwitz Defense,A40,1761,1774,120+1,Normal,104.0,2.0,2.0,0.0,White,0.4934735315445975,0.4981870920957215,0.2533480359030683,0.2859801505312489,1.0,120.0,Correct,1666
Bullet,2024.08.01,post-nut-clarity,mrtuple,0-1,Harrwitz Attack,D37,1159,1179,120+1,Normal,117.0,3.0,0.0,1.0,Black,0.2751994198694706,0.2824510514865844,-1.2834570448283944,-1.2318336531054153,0.0,120.0,Correct,1667
Blitz,2024.08.01,Paco_Rauda,AnSled96,1-0,Boi Variation,C23,1718,1713,300+0,Normal,103.0,2.0,0.0,1.0,White,0.4778825235678027,0.4760696156635242,0.1435762444222496,0.1303723488138766,1.0,300.0,Correct,1668
Blitz,2024.08.01,Lutzy,yiamiyo,1-0,Owen Defense,B00,1369,1361,300+0,Normal,101.0,2.0,1.0,1.0,White,0.351341551849166,0.3484408992023206,-0.7473622492243958,-0.7675611955224356,1.0,300.0,Correct,1669
Blitz,2024.08.01,KASPAMAGNUS,fentex,0-1,Mikenas Defense,A40,949,865,300+0,Normal,92.0,3.0,1.0,0.0,Black,0.1990572878897752,0.168600435097897,-1.819551840432393,-2.032831189814512,0.0,300.0,Correct,1670
Blitz,2024.08.01,Karrapatov,dwihar,1-0,Smith-Morra Gambit,B21,1693,1884,180+0,Normal,101.0,3.0,1.0,0.0,White,0.4688179840464104,0.5380710659898477,0.0797554354217735,0.5665843831363465,1.0,180.0,Correct,1671
Rapid,2024.08.01,sash2022,tendernanae,1-0,Philidor Defense,C41,1674,1426,1200+0,Normal,116.0,3.0,0.0,1.0,White,0.4619289340101522,0.3720087019579405,0.0312516205814117,-0.6017496035285144,1.0,1200.0,Correct,1672
Rapid,2024.08.01,ButteredCorn,ryuzzgambit,0-1,"Quiet Variation, Schallopp Defense",D12,2025,2057,600+0,Normal,84.0,3.0,1.0,0.0,Black,0.5891950688905003,0.6007976794778825,0.9272957789480952,1.0078983125970908,0.0,600.0,Correct,1673
Rapid,2024.08.01,Lemoulema2021,Xitskoff,0-1,Reversed French,A40,1700,1705,600+0,Normal,140.0,2.0,1.0,0.0,Black,0.4713560551124003,0.4731689630166787,0.0976252619419068,0.1099647682607786,0.0,600.0,Correct,1674
Blitz,2024.08.01,BlinkyGaladrigal,Denisov27,1-0,Anglo-Scandinavian Defense,A10,1965,2007,180+2,Normal,105.0,2.0,1.0,0.0,White,0.5674401740391588,0.5826686004350979,0.7741258373469527,0.8803509341402284,1.0,180.0,Correct,1675
Bullet,2024.08.01,QBvan,Ayiorok,1-0,Three Knights Opening,C46,1868,1864,60+0,Time forfeit,78.0,3.0,1.0,0.0,White,0.5322697606961566,0.5308194343727338,0.5265010984251057,0.5155654317536015,1.0,60.0,Correct,1676
Bullet,2024.08.01,Zaplya,coco_cr,0-1,Queen's Pawn Game,A40,2672,2595,60+0,Normal,88.0,3.0,0.0,0.0,Black,0.8237853517041335,0.7958665699782451,2.578978315880415,2.380308104792932,0.0,60.0,Correct,1677
Blitz,2024.08.01,m97ezzat,loca21,1-0,Main Line,B01,1745,1723,180+0,Time forfeit,110.0,2.0,2.0,0.0,White,0.4876722262509064,0.4796954314720812,0.2125027181427637,0.1558818245052491,1.0,180.0,Correct,1678
Bullet,2024.08.01,cleopatras_dad,Nassersaid,0-1,Two Knights Defense,C55,1914,1929,60+0,Normal,90.0,3.0,1.0,0.0,Black,0.5489485134155185,0.5543872371283539,0.6439313869859816,0.6813770237475228,0.0,60.0,Correct,1679
Blitz,2024.08.01,bybyle,JosePARADA111,0-1,"Symmetrical Variation, Pseudo-Catalan",D02,1552,1559,300+0,Time forfeit,90.0,4.0,0.0,0.0,Black,0.4176939811457578,0.4202320522117476,-0.2801939273409112,-0.26247357683326,0.0,300.0,Correct,1680
Blitz,2024.08.01,boringboring,krsman777,1-0,Rapport-Jobava System,D01,2170,2144,300+3,Normal,115.0,3.0,0.0,0.0,White,0.6417693981145758,0.6323422770123278,1.297456471150856,1.2298307511120317,1.0,300.0,Correct,1681
Bullet,2024.08.01,ChessPlayer4582,nthek1ng,1-0,Accelerated London System,D00,888,1034,60+0,Time forfeit,72.0,4.0,0.0,0.0,White,0.1769398114575779,0.229876722262509,-1.9752746143935545,-1.6017210506303168,1.0,60.0,Correct,1682
Blitz,2024.08.01,OrenKau,Kossu,0-1,King's Indian Variation,A00,2010,2089,180+0,Normal,109.0,4.0,0.0,0.0,Black,0.583756345177665,0.6124002900652646,0.8890032935478096,1.089528634809483,0.0,180.0,Correct,1683
Blitz,2024.08.01,jzqin,abrahan3211,1-0,Owen Defense,B00,1822,1827,180+0,Time forfeit,96.0,2.0,2.0,0.0,White,0.5155910079767948,0.5174039158810733,0.4090708098642298,0.4211803716955232,1.0,180.0,Correct,1684
Rapid,2024.08.01,talgat29_07,phoaming,0-1,Advance Variation,B12,1743,1746,600+0,Time forfeit,111.0,3.0,1.0,0.0,Black,0.4869470630891951,0.4880348078317621,0.2073970534227256,0.2145536185954059,0.0,600.0,Correct,1685
Rapid,2024.08.01,dkingd58,Haridy80,1/2-1/2,Main Line,B01,1700,1659,600+0,Normal,93.0,2.0,2.0,0.0,Draw,0.4713560551124003,0.4564902102973168,0.0976252619419068,-0.0073788199195349,0.5,600.0,Correct,1686
Rapid,2024.08.01,Emho-ola,AAA12300,0-1,Indian Defense,A45,1862,1858,600+0,Normal,112.0,2.0,0.0,2.0,Black,0.5300942712110225,0.5286439448875997,0.5111841042649915,0.500259746338778,0.0,600.0,Correct,1687
Rapid,2024.08.01,Azzeddine_Zar,teocris,1/2-1/2,Anti-Fried Liver Defense,C50,1423,1523,600+0,Normal,96.0,2.0,2.0,0.0,Draw,0.3709209572153734,0.4071791153009427,-0.6095093017833675,-0.354307689322201,0.5,600.0,Correct,1688
Blitz,2024.08.01,kovpak_alex,ciinciincin,0-1,Nimzo-Larsen Attack,A01,1865,1953,180+0,Normal,146.0,3.0,1.0,0.0,Black,0.5311820159535896,0.5630891950688905,0.5188426013450487,0.7425997654068168,0.0,180.0,Correct,1689
Blitz,2024.08.01,Kazob,viktor0400,1/2-1/2,"Classical Variation, Normal Variation",C13,1425,1425,180+0,Normal,107.0,3.0,0.0,1.0,Draw,0.3716461203770849,0.3716461203770849,-0.6044036370633294,-0.6043005510976516,0.5,180.0,Correct,1690
Blitz,2024.08.01,dreamofwaking,Radioputo,0-1,Rapport-Jobava System,D01,1733,1711,180+0,Normal,84.0,1.0,2.0,0.0,Black,0.4833212472806382,0.4753444525018129,0.1818687298225352,0.1252704536756021,0.0,180.0,Correct,1691
Blitz,2024.08.01,Jamal_Labizar,CannotBeDoinThat,0-1,Valencian Variation,B01,1893,1884,180+0,Normal,99.0,3.0,0.0,0.0,Black,0.5413343002175489,0.5380710659898477,0.5903219074255818,0.5665843831363465,0.0,180.0,Correct,1692
